dda_agent_name,game_id,survival_time_steps,total_kills,avg_health_percent,health_std,min_health,time_in_flow_zone_percent,time_in_danger_zone_percent,time_in_safety_zone_percent,near_death_count,near_death_time_percent,action_do_nothing_count,action_slightly_easier_count,action_much_easier_count,action_slightly_harder_count,action_much_harder_count,action_oscillations
RL_backup_best_dda_model,19,3900,22,89.23076923076923,26.73561107228118,0.0,0.0,7.6923076923076925,92.3076923076923,1,7.6923076923076925,0,0,0,0,0,0
RL_backup_best_dda_model,20,7500,45,86.4,22.4285532302019,0.0,4.0,4.0,92.0,1,4.0,0,0,0,0,0,0
RL_backup_best_dda_model,21,4200,24,92.85714285714286,25.75393768188564,0.0,0.0,7.142857142857142,92.85714285714286,1,7.142857142857142,0,0,0,0,0,0
RL_backup_best_dda_model,22,5400,31,92.22222222222223,24.165070189923938,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,23,6000,37,84.5,25.927784324928346,-5.0,10.0,5.0,85.0,1,5.0,0,0,0,0,0,0
RL_backup_best_dda_model,24,5400,29,88.33333333333333,31.490739379485305,-10.0,0.0,11.11111111111111,88.88888888888889,1,11.11111111111111,0,0,0,0,0,0
RL_backup_best_dda_model,25,5100,29,88.82352941176471,29.332245444857612,-5.0,0.0,11.76470588235294,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,26,5100,30,91.76470588235294,26.39859490860809,-10.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,27,3300,19,90.9090909090909,28.74797872880345,0.0,0.0,9.090909090909092,90.9090909090909,1,9.090909090909092,0,0,0,0,0,0
RL_backup_best_dda_model,28,3600,20,91.66666666666667,27.638539919628336,0.0,0.0,8.333333333333332,91.66666666666666,1,8.333333333333332,0,0,0,0,0,0
RL_backup_best_dda_model,29,5100,26,85.88235294117646,27.02043312436671,-15.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,30,6600,36,53.86363636363637,28.321683717516535,0.0,72.72727272727273,4.545454545454546,22.727272727272727,1,4.545454545454546,0,0,0,0,0,0
RL_backup_best_dda_model,31,5100,30,92.3529411764706,26.015699279407038,-10.0,0.0,5.88235294117647,94.11764705882352,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,32,4800,27,88.75,29.973947020704497,0.0,0.0,12.5,87.5,1,6.25,0,0,1,0,0,0
RL_backup_best_dda_model,33,4500,25,72.0,35.86084215408221,0.0,26.666666666666668,13.333333333333334,60.0,2,13.333333333333334,0,0,0,0,0,0
RL_backup_best_dda_model,34,5400,31,94.16666666666667,24.051449482769687,-5.0,0.0,5.555555555555555,94.44444444444444,1,5.555555555555555,0,0,0,0,0,0
